city,state,population,area,radius,restaurants,per_100k,score
Gainesville,Florida,145812,63.2,7218.259448257601,3,2.057443831783392,-0.35266303321117676
Rockford,Illinois,146120,64.5,7292.119988669219,3,2.053107035313441,-0.3557072369124774
Joliet,Illinois,150489,64.5,7292.119988669219,3,1.9935011861332057,-0.39821161508201636
Davenport,Iowa,100354,63.8,7252.442399269663,2,1.992944974789246,-0.39861420090429084
Columbus,Georgia,201877,216.5,13359.890518316672,4,1.9814045185930047,-0.40699263151079196
Grand Prairie,Texas,202134,72.6,7736.459550470459,4,1.9788852939139383,-0.40882808983009294
Chico,California,101301,34.1,5302.139359041544,2,1.974314172614288,-0.41216449469673994
Little Rock,Arkansas,203842,120.0,9946.369110023803,4,1.9623041375182737,-0.42096741662959686
Palm Coast,Florida,102113,95.4,8868.458461643962,2,1.958614476119593,-0.42368262614970426
El Cajon,California,102991,14.5,3457.4662541810844,2,1.9419172549057686,-0.43603434999000135
South Bend,Indiana,103395,42.0,5884.351320705834,2,1.9343295130325449,-0.4416824999708456
El Monte,California,103794,9.6,2813.2580183528944,2,1.9268936547391948,-0.44723912732963966
Fishers,Indiana,104094,35.6,5417.500347356511,2,1.9213403270121236,-0.45140299261005384
Dallas,Texas,1302868,339.6,16732.38271968834,25,1.918843658758984,-0.4532789086746958
Jurupa Valley,California,107321,42.9,5947.063763239701,2,1.8635681739827246,-0.4954484813975806
Oklahoma City,Oklahoma,702767,606.2,22355.372711094344,13,1.8498307404872454,-0.506122808636785
Spokane Valley,Washington,108235,37.7,5574.996819450443,2,1.8478311082367072,-0.5076831783680902
Reno,Nevada,274915,108.8,9470.837749747257,5,1.8187439754105814,-0.530573609719551
Murfreesboro,Tennessee,165430,62.9,7201.107124337065,3,1.813455842350239,-0.5347744627094212
Sparks,Nevada,110323,36.4,5478.032956280337,2,1.8128586060930176,-0.5352496723508204
Everett,Washington,111180,33.2,5231.701907042412,2,1.7988846914912753,-0.5464133660200372
Tacoma,Washington,222906,49.7,6401.06361350722,4,1.7944783899939885,-0.5499515292174939
Memphis,Tennessee,618639,297.0,15647.759894638859,11,1.7780967575597402,-0.5631822462993313
Houston,Texas,2314157,640.4,22977.33258489113,41,1.7717034756068841,-0.5683789140188439
Louisville,Kentucky,622981,324.9,16366.235816925118,11,1.7657039299753925,-0.5732726240369397
Menifee,California,113433,46.5,6191.564839216644,2,1.7631553428014775,-0.5753564899166098
Waterbury,Connecticut,114990,28.5,4847.260709648128,2,1.7392816766675363,-0.5950244827932893
Santa Rosa,California,175845,42.5,5919.273593592036,3,1.7060479399471125,-0.6228578918646186
Bakersfield,California,413381,149.8,11112.962670994772,7,1.6933531052467337,-0.6336332372643386
Aurora,Illinois,177563,45.0,6090.882278234688,3,1.6895411769343838,-0.6368845670082403
Shreveport,Louisiana,177959,107.8,9427.213207593786,3,1.6857815564259184,-0.6400984748533848
Elk Grove,California,178444,42.0,5884.351320705834,3,1.681199704108852,-0.6440249711328445
Independence,Missouri,120922,78.0,8019.019142472675,2,1.6539587502687683,-0.6675928246775235
Thousand Oaks,California,123463,55.3,6752.063446055962,2,1.6199185180985396,-0.6975948314467082
Simi Valley,California,125113,41.5,5849.220551081059,2,1.5985549063646465,-0.7167477808836844
Athens,Georgia,128628,116.3,9791.82867684019,2,1.5548714121342166,-0.7567208044118353
Columbia,Missouri,129330,66.5,7404.3130383826365,2,1.546431609062089,-0.7645730471712641
Montgomery,Alabama,195287,159.9,11481.488118491154,3,1.536200566345942,-0.7741494922003592
Oxnard,California,198488,26.5,4674.088012231322,3,1.5114263834589496,-0.7976053670106771
Sterling Heights,Michigan,133306,36.4,5478.032956280337,2,1.5003075630504255,-0.808257795297753
Augusta,Georgia,200884,302.3,15786.760575541939,3,1.493399175643655,-0.8149162390357647
Tallahassee,Florida,202221,100.9,9120.518570741615,3,1.4835254498790926,-0.8244864023571674
Indianapolis,Indiana,879293,361.6,17265.85779888964,13,1.478460535907826,-0.8294203442636968
Dayton,Ohio,135512,55.8,6782.519457389606,2,1.4758840545486747,-0.8319366910934796
Palm Bay,Florida,135566,86.4,8439.774055058684,2,1.4752961657052654,-0.832511474242525
Hampton,Virginia,137098,51.5,6515.9473034439625,2,1.4588104859297728,-0.8487236039051774
Tulsa,Oklahoma,411894,197.5,12760.200510567041,6,1.4566854579090738,-0.8508266889302789
Des Moines,Iowa,210381,88.2,8527.235189528563,3,1.4259842856531721,-0.8815579954510139
Moreno Valley,California,212392,51.3,6503.282670862251,3,1.412482579381521,-0.8952830044223526
Thornton,Colorado,144922,35.9,5440.279005693551,2,1.3800527180138282,-0.9287926998144123
Syracuse,New York,145560,25.1,4548.946295268257,2,1.3740038472107723,-0.9351300351132814
Pasadena,Texas,146716,43.7,6002.258113453997,2,1.3631778401810302,-0.9465422904046409
Hialeah,Florida,221300,21.6,4219.887027529342,3,1.3556258472661544,-0.9545570292388332
Bridgeport,Connecticut,148028,16.1,3643.232494883098,2,1.3510957386440403,-0.9593861711647121
Escondido,California,148122,37.3,5545.342370732375,2,1.3502383170629617,-0.9603020133959984
Greensboro,North Carolina,302296,129.6,10336.569989636917,4,1.3232063937332945,-0.9894779680799596
Surprise,Arizona,158285,110.3,9535.900372431966,2,1.2635436080487727,-1.056040622666552
Salinas,California,159506,23.5,4401.572705779567,2,1.253871327724349,-1.0671267724503155
Stockton,California,319543,62.2,7160.925264360268,4,1.251787709322376,-1.0695261624583543
Fort Worth,Texas,978468,347.3,16921.012274589208,12,1.226406995425502,-1.0990782475557537
Port St. Lucie,Florida,245021,119.2,9913.15910375447,3,1.2243848486456261,-1.1014589816032947
San Antonio,Texas,1495295,498.8,20278.562762650457,18,1.2037758435626413,-1.1259493075606921
Salem,Oregon,177432,48.8,6342.841511942407,2,1.1271923891969882,-1.2207823031049077
Jacksonville,Florida,985843,747.3,24821.123758596914,11,1.1157963286243346,-1.2354423693059295
Clarksville,Tennessee,180716,99.4,9052.470975834842,2,1.1067088691648774,-1.2472403221501533
Mobile,Alabama,182595,139.5,10724.104879880255,2,1.0953202442564145,-1.2621633393569625
Newport News,Virginia,183118,69.0,7542.207808187236,2,1.092191919964176,-1.2662896899146832
Brownsville,Texas,190158,131.5,10412.063912107713,2,1.0517569600016827,-1.3207147136483401
Overland Park,Kansas,197089,75.2,7873.7726224246335,2,1.0147699770154601,-1.3723633372506487
Amarillo,Texas,202408,102.3,9183.574758670635,2,0.9881032370262045,-1.410782391245773
Vacaville,California,102526,29.9,4964.888995350069,1,0.9753623471119521,-1.4295058940590306
Wichita Falls,Texas,102691,72.0,7704.424383670815,1,0.9737951719235376,-1.431825825965667
Lee's Summit,Missouri,104184,63.9,7258.123906133389,1,0.9598402825769793,-1.4526498123582896
Brockton,Massachusetts,104890,21.3,4190.47979101777,1,0.9533797311469158,-1.4623932196713725
Green Bay,Wisconsin,105744,45.5,6124.627036613484,1,0.9456801331517628,-1.474091884806292
McKinney,Texas,213509,67.0,7432.096674604455,2,0.9367286624919793,-1.4878129635694197
Santa Maria,California,109987,22.8,4335.521780574834,1,0.9091983598061589,-1.5308490921721722
Concord,North Carolina,110119,63.5,7235.371110630209,1,0.908108500803676,-1.5325794926903558
Peoria,Illinois,110460,48.0,6290.636167283423,1,0.9053050878145936,-1.5370401113426777
Tuscaloosa,Alabama,111338,61.9,7143.635278733866,1,0.8981659451400241,-1.5484621517791115
Lowell,Massachusetts,114296,13.6,3348.446798181914,1,0.8749212570868623,-1.586290993474576
Las Cruces,New Mexico,114892,76.9,7962.274003365844,1,0.8703826201998399,-1.5937944245671383
Manchester,New Hampshire,115474,33.1,5223.816895919163,1,0.8659958085802864,-1.601084131383527
Odessa,Texas,115743,51.1,6490.593326731838,1,0.8639831350492039,-1.6044410224520294
League City,Texas,116320,51.3,6503.282670862251,1,0.859697386519945,-1.6116152531912094
Fairfield,California,120768,41.6,5856.26356453069,1,0.8280339162692104,-1.6657543119846983
Billings,Montana,120864,44.8,6077.33191155395,1,0.8273762245168123,-1.6669006728244258
Lafayette,Louisiana,121467,55.8,6782.519457389606,1,0.8232688713807041,-1.6740804963316982
North Charleston,South Carolina,121469,77.6,7998.431126108445,1,0.8232553161712042,-1.6741042506544979
Lakeland,Florida,122264,66.2,7387.592701562602,1,0.8179022443237584,-1.6835157511490397
Pearland,Texas,127736,48.7,6336.339366192372,1,0.782864658357863,-1.7466812577539945
Fargo,North Dakota,133188,49.8,6407.500079299789,1,0.7508183920473316,-1.8069801828490637
Fort Wayne,Indiana,269994,110.7,9553.175568427021,2,0.7407572020118965,-1.826443425851147
El Paso,Texas,678958,258.4,14595.541211097296,5,0.7364225769487951,-1.8349103167751217
Cedar Rapids,Iowa,135958,72.1,7709.772821929457,1,0.7355212639197399,-1.836677123311784
Warren,Michigan,136655,34.4,5325.411479771264,1,0.731769785225568,-1.8440543256798996
Midland,Texas,138397,75.5,7889.462653173902,1,0.7225590150075507,-1.862328749165415
Lakewood,New Jersey,139866,24.7,4512.55414028375,1,0.7149700427552086,-1.8775613794732435
Saint Paul,Minnesota,303820,52.0,6547.501712222925,2,0.6582845105654663,-1.9967329221669634
Killeen,Texas,159643,54.8,6721.469435269465,1,0.6263976497560181,-2.068365374061112
Sioux Falls,South Dakota,206410,79.1,8075.365546525485,1,0.48447265151882174,-2.4390289459045675
Yonkers,New York,207657,18.0,3852.2121918354073,1,0.48156334725051403,-2.4477185838371835
Cape Coral,Florida,224455,106.0,9348.176024462644,1,0.4455236016127954,-2.559942313167013
Winston-Salem,North Carolina,252975,132.7,10459.46353760766,1,0.3952959778634252,-2.73251089789826
Lubbock,Texas,266878,134.6,10534.076763233565,1,0.3747030478345911,-2.8096964611122117
Corpus Christi,Texas,316595,162.2,11563.768101378095,1,0.3158609580062856,-3.056154549924189
Springfield,Missouri,170188,82.4,8242.093837006094,0,0.0,-inf
Olathe,Kansas,147461,61.9,7143.635278733866,0,0.0,-inf
Lynn,Massachusetts,101241,10.7,2970.064204776475,0,0.0,-inf
Yuma,Arizona,100858,120.7,9975.337169602868,0,0.0,-inf
New Bedford,Massachusetts,100695,20.0,4060.588185489792,0,0.0,-inf
Fayetteville,Arkansas,101680,54.1,6678.402368443875,0,0.0,-inf
Fontana,California,215465,43.1,5960.910263387645,0,0.0,-inf
Abilene,Texas,129043,106.7,9378.991851940327,0,0.0,-inf
Jackson,Mississippi,143709,111.7,9596.227501565283,0,0.0,-inf
Broken Arrow,Oklahoma,119194,63.0,7206.8291015007935,0,0.0,-inf
Topeka,Kansas,125475,61.4,7114.725264215589,0,0.0,-inf
Allentown,Pennsylvania,124880,17.6,3809.169363874829,0,0.0,-inf
Kent,Washington,133378,33.8,5278.76464113673,0,0.0,-inf
West Valley City,Utah,134470,35.8,5432.69673161767,0,0.0,-inf
Waco,Texas,144816,88.7,8551.371199277792,0,0.0,-inf
Nampa,Idaho,114268,33.5,5255.2859570468,0,0.0,-inf
Tyler,Texas,110327,57.5,6885.062249892911,0,0.0,-inf
Rio Rancho,New Mexico,110660,103.4,9232.816799371689,0,0.0,-inf
Pueblo,Colorado,111077,55.4,6758.165628454648,0,0.0,-inf
New Braunfels,Texas,110958,45.2,6104.4025662987515,0,0.0,-inf
Anchorage,Alaska,286075,,,0,0.0,-inf
Lincoln,Nebraska,294757,97.7,8974.726668445139,0,0.0,-inf
Springfield,Illinois,112544,61.1,7097.322730374145,0,0.0,-inf
Laredo,Texas,257602,106.5,9370.197671054846,0,0.0,-inf
Greeley,Colorado,112609,48.9,6349.336999063803,0,0.0,-inf
Beaumont,Texas,112193,82.5,8247.09359108253,0,0.0,-inf
Evansville,Indiana,115332,47.4,6251.196053298128,0,0.0,-inf
Wichita,Kansas,396119,162.0,11556.636575506222,0,0.0,-inf
Hillsboro,Oregon,107730,25.7,4602.995078163671,0,0.0,-inf
Conroe,Texas,108248,72.0,7704.424383670815,0,0.0,-inf
Renton,Washington,104491,23.5,4401.572705779567,0,0.0,-inf
Rialto,California,103391,24.1,4457.40884109006,0,0.0,-inf
